plate,mjd,fiberid,fibermag_r,petromag_r,z
660,52177,434,17.47845,15.99501,0.06233886
749,52226,443,17.35203,15.31491,0.06674316
650,52143,17,17.17116,15.25303,0.06494495
651,52141,95,17.53352,16.13235,0.07693373
649,52201,598,18.0697,16.57831,0.07568144
654,52146,457,17.45277,16.26494,0.09940816
654,52146,612,16.7473,14.95571,0.05473357
655,52162,494,17.15808,15.99595,0.05822562
655,52162,535,17.44781,16.31232,0.05379623
657,52177,513,18.07538,16.80094,0.07383443
655,52162,450,17.07676,15.20572,0.05376796
728,52520,38,16.24015,14.36335,0.01726311
726,52226,311,18.34392,17.07523,0.09115148
726,52226,360,17.58949,16.27336,0.09092933
648,52559,313,17.43433,15.67371,0.05697457
645,52203,74,18.42241,17.51084,0.07119211
648,52559,463,17.20123,15.68281,0.06802826
648,52559,143,16.98029,14.7164,0.07401411
645,52203,398,17.7855,16.46791,0.08219727
647,52553,472,16.48905,14.95591,0.06089477
645,52203,378,17.76254,16.43074,0.08308725
646,52523,322,17.84835,16.53902,0.09790853
645,52203,575,18.01519,16.80306,0.09974243
649,52201,349,18.13764,16.76978,0.083873
456,51910,24,18.23505,16.95219,0.08445303
456,51910,559,17.8937,17.01003,0.08419248
457,51901,230,16.97935,15.40247,0.05682008
456,51910,208,17.18285,15.58038,0.04209739
454,51908,550,18.32973,17.08167,0.08754586
758,52253,513,17.50555,16.05289,0.04208873
758,52253,551,18.06781,16.80793,0.07408856
543,52017,625,17.46601,16.04276,0.04057329
545,52202,118,18.2887,16.80114,0.06786797
542,51993,478,17.74249,15.79725,0.08654741
544,52201,543,17.95138,16.61601,0.06892544
546,52205,618,18.20041,16.84911,0.07942612
649,52201,592,17.22953,15.69207,0.07595232
656,52148,631,17.04308,15.3606,0.07736394
652,52138,517,16.31455,14.64181,0.02218958
649,52201,618,17.73912,15.86922,0.07688762
658,52146,263,17.4334,16.07498,0.05392027
657,52177,108,17.73173,16.51742,0.05528618
659,52199,164,17.85456,16.8163,0.07215199
658,52146,164,16.16116,14.22806,0.02284874
657,52177,267,17.25898,16.07658,0.0794028
656,52148,148,18.09656,17.03021,0.08589669
650,52143,180,18.0701,16.6656,0.09149973
649,52201,131,17.95798,17.03638,0.07724106
649,52201,170,17.36949,15.95612,0.07580104
657,52177,138,18.57387,17.27861,0.09511043
655,52162,204,17.0529,15.49271,0.06540606
747,52234,451,17.81267,16.75295,0.06662153
730,52466,446,18.48577,17.53761,0.09423532
729,52468,408,18.09948,17.14763,0.08724757
728,52520,574,18.22651,17.39758,0.08461496
751,52251,426,17.59066,16.30702,0.03733559
749,52226,532,18.03638,16.72814,0.0936691
745,52258,611,16.91421,14.54964,0.0412185
741,52261,533,18.23414,17.18142,0.08589723
734,52224,523,17.59424,16.04007,0.03007322
731,52460,576,17.37276,16.13721,0.0629665
740,52263,342,18.01689,16.71049,0.09918548
751,52251,316,17.54912,16.15172,0.0913173
746,52238,193,17.18134,15.15323,0.04110784
730,52466,158,18.00212,16.69626,0.09095191
747,52234,101,17.17952,15.36361,0.06784514
745,52258,292,17.74715,16.08691,0.08286747
745,52258,297,17.18114,15.18588,0.05563379
744,52251,69,17.56381,16.30099,0.05570231
744,52251,105,17.62092,16.21021,0.08284424
738,52521,148,18.46873,17.44496,0.09958481
731,52460,275,17.77065,16.22162,0.08806715
730,52466,73,17.63217,16.18222,0.06208266
730,52466,27,16.67755,14.79525,0.06176175
749,52226,56,17.4978,16.15473,0.07807605
